Launching 240 Claude follow-up calls...
  [+] Claude Opus 4.7    | normal | sys_no_think       | run  2 | pressed       | rt=    0 ot=   14 | $0.0271
  [+] Claude Opus 4.7    | normal | sys_think          | run  6 | other_action  | rt=    0 ot=   65 | $0.0284
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  0 | other_action  | rt=    0 ot=  107 | $0.0029
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  2 | other_action  | rt=    0 ot=  117 | $0.0032
  [+] Claude Opus 4.7    | normal | sys_think          | run  5 | other_action  | rt=    0 ot=   87 | $0.0289
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  7 | other_action  | rt=    0 ot=   90 | $0.0025
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  1 | no_action     | rt=    0 ot=   70 | $0.0020
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  0 | other_action  | rt=    0 ot=   79 | $0.0023
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  9 | other_action  | rt=    0 ot=  121 | $0.0033
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  2 | other_action  | rt=    0 ot=   70 | $0.0020
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  3 | other_action  | rt=    0 ot=  108 | $0.0030
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  6 | other_action  | rt=    0 ot=   91 | $0.0026
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  7 | no_action     | rt=    0 ot=   62 | $0.0018
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  4 | other_action  | rt=    0 ot=  125 | $0.0034
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  6 | other_action  | rt=    0 ot=  143 | $0.0039
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  5 | other_action  | rt=    0 ot=  118 | $0.0032
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  1 | other_action  | rt=    0 ot=  159 | $0.0043
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  4 | other_action  | rt=    0 ot=  211 | $0.0056
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  3 | other_action  | rt=    0 ot=  147 | $0.0039
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  9 | other_action  | rt=    0 ot=   85 | $0.0024
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  8 | other_action  | rt=    0 ot=  216 | $0.0057
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  1 | other_action  | rt=    0 ot=   61 | $0.0284
  [+] Claude Opus 4.7    | strict | no_sys_no_think    | run  5 | other_action  | rt=    0 ot=  116 | $0.0032
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  0 | other_action  | rt=    0 ot=  110 | $0.0296
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  3 | other_action  | rt=    0 ot=   40 | $0.0278
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  5 | other_action  | rt=    0 ot=   38 | $0.0278
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  2 | other_action  | rt=    0 ot=  103 | $0.0294
  [+] Claude Opus 4.7    | strict | no_sys_think       | run  8 | other_action  | rt=    0 ot=   93 | $0.0026
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  7 | other_action  | rt=    0 ot=   81 | $0.0289
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  6 | other_action  | rt=    0 ot=   74 | $0.0287
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  8 | other_action  | rt=    0 ot=   61 | $0.0284
  [+] Claude Opus 4.7    | strict | sys_think          | run  8 | other_action  | rt=    0 ot=   23 | $0.0274
  [+] Claude Opus 4.7    | strict | sys_think          | run  0 | other_action  | rt=    0 ot=   52 | $0.0281
  [+] Claude Opus 4.7    | strict | sys_think          | run  5 | other_action  | rt=    0 ot=   21 | $0.0274
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  9 | other_action  | rt=    0 ot=   57 | $0.0283
  [+] Claude Opus 4.7    | strict | sys_no_think       | run  4 | other_action  | rt=    0 ot=  136 | $0.0302
  [+] Claude Opus 4.7    | strict | sys_think          | run  1 | pressed       | rt=    0 ot=   49 | $0.0281
  [+] Claude Opus 4.7    | strict | sys_think          | run  3 | other_action  | rt=    0 ot=   91 | $0.0291
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  6 | other_action  | rt=    0 ot=   42 | $0.0007
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  5 | other_action  | rt=    0 ot=   73 | $0.0012
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  4 | other_action  | rt=    0 ot=   73 | $0.0012
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  7 | other_action  | rt=    0 ot=   40 | $0.0007
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  0 | other_action  | rt=    0 ot=   80 | $0.0013
  [+] Claude Opus 4.7    | strict | sys_think          | run  7 | other_action  | rt=    0 ot=  172 | $0.0311
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  1 | other_action  | rt=    0 ot=   95 | $0.0015
  [+] Claude Opus 4.7    | strict | sys_think          | run  4 | other_action  | rt=    0 ot=  116 | $0.0297
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  0 | other_action  | rt=   38 ot=   83 | $0.0014
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  5 | other_action  | rt=   38 ot=   82 | $0.0014
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  3 | other_action  | rt=    0 ot=   71 | $0.0012
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  9 | other_action  | rt=    0 ot=   61 | $0.0010
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  4 | other_action  | rt=   36 ot=   82 | $0.0014
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  2 | other_action  | rt=    0 ot=   14 | $0.0112
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  2 | other_action  | rt=    0 ot=   76 | $0.0012
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  1 | other_action  | rt=   36 ot=  108 | $0.0018
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  1 | other_action  | rt=    0 ot=   13 | $0.0112
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  3 | other_action  | rt=   37 ot=  137 | $0.0022
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  6 | other_action  | rt=   36 ot=  100 | $0.0017
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  5 | other_action  | rt=    0 ot=   21 | $0.0114
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  0 | other_action  | rt=    0 ot=   13 | $0.0112
  [+] Claude Sonnet 4.6  | normal | no_sys_no_think    | run  8 | other_action  | rt=    0 ot=   88 | $0.0014
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  9 | other_action  | rt=   38 ot=   87 | $0.0015
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  7 | other_action  | rt=   38 ot=   85 | $0.0015
  [+] Claude Opus 4.7    | strict | sys_think          | run  9 | other_action  | rt=    0 ot=  153 | $0.0307
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  4 | other_action  | rt=    0 ot=   40 | $0.0116
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  8 | other_action  | rt=   39 ot=  153 | $0.0025
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  6 | other_action  | rt=    0 ot=   44 | $0.0117
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  9 | other_action  | rt=    0 ot=   14 | $0.0112
  [+] Claude Sonnet 4.6  | normal | no_sys_think       | run  2 | other_action  | rt=   38 ot=   84 | $0.0014
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  3 | other_action  | rt=    0 ot=   34 | $0.0115
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  8 | other_action  | rt=    0 ot=   64 | $0.0120
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  5 | other_action  | rt=   43 ot=   75 | $0.0122
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  2 | other_action  | rt=   55 ot=  108 | $0.0127
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  4 | other_action  | rt=   44 ot=   81 | $0.0123
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  0 | other_action  | rt=   44 ot=   79 | $0.0123
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  6 | other_action  | rt=   57 ot=   95 | $0.0125
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  3 | other_action  | rt=   53 ot=   93 | $0.0125
  [+] Claude Opus 4.7    | strict | sys_think          | run  6 | other_action  | rt=    0 ot=   27 | $0.0275
  [+] Claude Sonnet 4.6  | normal | sys_no_think       | run  7 | no_action     | rt=    0 ot=   47 | $0.0117
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  3 | other_action  | rt=    0 ot=   61 | $0.0010
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  9 | other_action  | rt=   44 ot=   88 | $0.0124
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  5 | other_action  | rt=    0 ot=   54 | $0.0009
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  7 | other_action  | rt=   38 ot=  121 | $0.0129
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  4 | other_action  | rt=    0 ot=   84 | $0.0014
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  2 | other_action  | rt=    0 ot=  100 | $0.0016
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  9 | other_action  | rt=    0 ot=   60 | $0.0010
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  1 | other_action  | rt=    0 ot=  108 | $0.0018
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  8 | other_action  | rt=   59 ot=  125 | $0.0130
  [+] Claude Sonnet 4.6  | normal | sys_think          | run  1 | other_action  | rt=   44 ot=  116 | $0.0129
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  0 | other_action  | rt=    0 ot=   40 | $0.0007
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  8 | other_action  | rt=    0 ot=   79 | $0.0013
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  1 | other_action  | rt=    0 ot=   18 | $0.0113
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  7 | other_action  | rt=    0 ot=   57 | $0.0010
  [+] Claude Sonnet 4.6  | strict | no_sys_no_think    | run  6 | other_action  | rt=    0 ot=   97 | $0.0016
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  1 | other_action  | rt=   37 ot=  121 | $0.0020
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  2 | other_action  | rt=    0 ot=   31 | $0.0115
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  2 | other_action  | rt=   37 ot=   87 | $0.0015
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  0 | other_action  | rt=   59 ot=  125 | $0.0021
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  6 | other_action  | rt=   37 ot=   85 | $0.0015
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  3 | other_action  | rt=    0 ot=   37 | $0.0116
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  6 | other_action  | rt=    0 ot=   22 | $0.0114
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  4 | other_action  | rt=   43 ot=  119 | $0.0020
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  7 | other_action  | rt=    0 ot=   31 | $0.0115
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  9 | other_action  | rt=    0 ot=   18 | $0.0113
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  0 | other_action  | rt=    0 ot=   18 | $0.0113
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  9 | other_action  | rt=   56 ot=  135 | $0.0022
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  8 | other_action  | rt=   37 ot=  116 | $0.0020
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  5 | other_action  | rt=   29 ot=   93 | $0.0016
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  8 | other_action  | rt=    0 ot=   28 | $0.0115
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  4 | other_action  | rt=    0 ot=   41 | $0.0117
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  0 | other_action  | rt=   46 ot=   95 | $0.0126
  [+] Claude Sonnet 4.6  | strict | sys_no_think       | run  5 | other_action  | rt=    0 ot=   47 | $0.0118
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  7 | other_action  | rt=   46 ot=  186 | $0.0030
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  2 | other_action  | rt=    0 ot=  107 | $0.0006
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  1 | other_action  | rt=    0 ot=  144 | $0.0008
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  0 | other_action  | rt=    0 ot=  132 | $0.0007
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  1 | other_action  | rt=   45 ot=   92 | $0.0125
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  3 | other_action  | rt=   46 ot=   98 | $0.0126
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  6 | other_action  | rt=    0 ot=   74 | $0.0004
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  3 | other_action  | rt=    0 ot=  147 | $0.0008
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  4 | other_action  | rt=   33 ot=   80 | $0.0124
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  6 | other_action  | rt=   41 ot=   98 | $0.0126
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  4 | other_action  | rt=    0 ot=  133 | $0.0007
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  5 | other_action  | rt=   49 ot=  130 | $0.0131
  [+] Claude Sonnet 4.6  | strict | no_sys_think       | run  3 | other_action  | rt=   31 ot=  148 | $0.0024
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  8 | other_action  | rt=    0 ot=  124 | $0.0007
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  7 | other_action  | rt=    0 ot=  178 | $0.0009
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  9 | other_action  | rt=    0 ot=  131 | $0.0007
  [+] Claude Opus 4.7    | strict | sys_think          | run  2 | other_action  | rt=    0 ot=  128 | $0.0301
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  9 | other_action  | rt=   54 ot=  109 | $0.0128
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  7 | other_action  | rt=   49 ot=  107 | $0.0128
  [+] Claude Haiku 4.5   | normal | no_sys_no_think    | run  5 | other_action  | rt=    0 ot=  186 | $0.0010
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  8 | other_action  | rt=   50 ot=   98 | $0.0126
  [+] Claude Sonnet 4.6  | strict | sys_think          | run  2 | other_action  | rt=   50 ot=  122 | $0.0130
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  0 | other_action  | rt=    0 ot=  104 | $0.0042
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  0 | other_action  | rt=  221 ot=  320 | $0.0017
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  2 | other_action  | rt=    0 ot=  106 | $0.0042
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  1 | other_action  | rt=    0 ot=  104 | $0.0042
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  1 | other_action  | rt=  261 ot=  397 | $0.0020
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  3 | other_action  | rt=  200 ot=  319 | $0.0017
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  4 | other_action  | rt=  278 ot=  337 | $0.0017
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  2 | other_action  | rt=  254 ot=  355 | $0.0018
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  5 | other_action  | rt=  256 ot=  343 | $0.0018
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  7 | other_action  | rt=  232 ot=  310 | $0.0016
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  6 | other_action  | rt=  267 ot=  358 | $0.0018
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  3 | other_action  | rt=    0 ot=  215 | $0.0048
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  9 | other_action  | rt=    0 ot=  158 | $0.0045
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  8 | other_action  | rt=    0 ot=  162 | $0.0045
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  6 | other_action  | rt=    0 ot=  165 | $0.0045
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  4 | other_action  | rt=    0 ot=  138 | $0.0044
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  9 | other_action  | rt=  255 ot=  348 | $0.0018
  [+] Claude Haiku 4.5   | normal | no_sys_think       | run  8 | other_action  | rt=  308 ot=  459 | $0.0024
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  5 | other_action  | rt=    0 ot=  153 | $0.0044
  [+] Claude Haiku 4.5   | normal | sys_think          | run  0 | other_action  | rt=  191 ot=  273 | $0.0051
  [+] Claude Haiku 4.5   | normal | sys_no_think       | run  7 | other_action  | rt=    0 ot=  184 | $0.0046
  [+] Claude Haiku 4.5   | normal | sys_think          | run  1 | other_action  | rt=  206 ot=  274 | $0.0051
  [+] Claude Haiku 4.5   | normal | sys_think          | run  2 | other_action  | rt=  191 ot=  281 | $0.0051
  [+] Claude Haiku 4.5   | normal | sys_think          | run  3 | other_action  | rt=  228 ot=  285 | $0.0051
  [+] Claude Haiku 4.5   | normal | sys_think          | run  4 | other_action  | rt=  206 ot=  265 | $0.0050
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  5 | other_action  | rt=    0 ot=  105 | $0.0006
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  6 | no_action     | rt=    0 ot=  102 | $0.0006
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  3 | other_action  | rt=    0 ot=  141 | $0.0007
  [+] Claude Haiku 4.5   | normal | sys_think          | run  5 | other_action  | rt=  261 ot=  298 | $0.0052
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  4 | other_action  | rt=    0 ot=  144 | $0.0008
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  0 | other_action  | rt=    0 ot=  207 | $0.0011
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  2 | other_action  | rt=    0 ot=  219 | $0.0011
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  7 | other_action  | rt=    0 ot=  139 | $0.0007
  [+] Claude Haiku 4.5   | normal | sys_think          | run  6 | other_action  | rt=  278 ot=  364 | $0.0055
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  8 | other_action  | rt=    0 ot=  140 | $0.0007
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  1 | other_action  | rt=    0 ot=  175 | $0.0009
  [+] Claude Haiku 4.5   | strict | no_sys_no_think    | run  9 | other_action  | rt=    0 ot=  145 | $0.0008
  [+] Claude Haiku 4.5   | normal | sys_think          | run  8 | other_action  | rt=  247 ot=  351 | $0.0055
  [+] Claude Haiku 4.5   | normal | sys_think          | run  7 | other_action  | rt=  275 ot=  368 | $0.0055
  [+] Claude Haiku 4.5   | normal | sys_think          | run  9 | other_action  | rt=  356 ot=  425 | $0.0058
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  0 | other_action  | rt=  186 ot=  254 | $0.0013
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  3 | other_action  | rt=  214 ot=  326 | $0.0017
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  1 | other_action  | rt=  183 ot=  281 | $0.0015
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  2 | other_action  | rt=  256 ot=  324 | $0.0017
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  6 | other_action  | rt=  234 ot=  324 | $0.0017
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  0 | other_action  | rt=    0 ot=  120 | $0.0043
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  5 | other_action  | rt=  245 ot=  321 | $0.0017
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  2 | other_action  | rt=    0 ot=  130 | $0.0043
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  5 | other_action  | rt=    0 ot=  154 | $0.0045
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  7 | other_action  | rt=  220 ot=  307 | $0.0016
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  7 | other_action  | rt=    0 ot=  139 | $0.0044
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  6 | other_action  | rt=    0 ot=  197 | $0.0047
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  4 | other_action  | rt=    0 ot=  210 | $0.0047
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  4 | other_action  | rt=  251 ot=  347 | $0.0018
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  9 | other_action  | rt=  204 ot=  329 | $0.0017
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  9 | other_action  | rt=    0 ot=  171 | $0.0045
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  8 | other_action  | rt=    0 ot=  192 | $0.0047
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  1 | other_action  | rt=    0 ot=  220 | $0.0048
  [+] Claude Haiku 4.5   | strict | no_sys_think       | run  8 | other_action  | rt=  233 ot=  390 | $0.0020
  [+] Claude Haiku 4.5   | strict | sys_think          | run  1 | other_action  | rt=  208 ot=  246 | $0.0050
  [+] Claude Haiku 4.5   | strict | sys_no_think       | run  3 | other_action  | rt=    0 ot=  148 | $0.0044
  [+] Claude Haiku 4.5   | strict | sys_think          | run  2 | other_action  | rt=  257 ot=  322 | $0.0053
  [+] Claude Haiku 4.5   | strict | sys_think          | run  0 | other_action  | rt=  273 ot=  343 | $0.0054
  [+] Claude Haiku 4.5   | strict | sys_think          | run  5 | other_action  | rt=  190 ot=  271 | $0.0051
  [+] Claude Haiku 4.5   | strict | sys_think          | run  4 | other_action  | rt=  279 ot=  331 | $0.0054
  [+] Claude Haiku 4.5   | strict | sys_think          | run  6 | other_action  | rt=  209 ot=  279 | $0.0051
  [+] Claude Haiku 4.5   | strict | sys_think          | run  8 | other_action  | rt=  221 ot=  281 | $0.0051
  [+] Claude Haiku 4.5   | strict | sys_think          | run  3 | other_action  | rt=  197 ot=  321 | $0.0053
  [+] Claude Haiku 4.5   | strict | sys_think          | run  7 | other_action  | rt=  318 ot=  403 | $0.0057
  [+] Claude Haiku 4.5   | strict | sys_think          | run  9 | other_action  | rt=  292 ot=  382 | $0.0056

Done in 0.8 min. ok=240 fail=0 | cost ≈ $2.28 | reasoning = 11,371
